corpus,metric_1,metric_2,rho
A (Pre-2022),PTD,PTD,1.0
A (Pre-2022),PTD,FWR_unt,-0.053936078905508014
A (Pre-2022),PTD,FWR_tag,0.03970628427867613
A (Pre-2022),PTD,Sha_W,0.08422161039031927
A (Pre-2022),PTD,Sha_P,-0.16715585596658727
A (Pre-2022),FWR_unt,PTD,-0.053936078905508014
A (Pre-2022),FWR_unt,FWR_unt,1.0
A (Pre-2022),FWR_unt,FWR_tag,0.9574084901194418
A (Pre-2022),FWR_unt,Sha_W,-0.16092671160413788
A (Pre-2022),FWR_unt,Sha_P,0.5296930080496056
A (Pre-2022),FWR_tag,PTD,0.03970628427867613
A (Pre-2022),FWR_tag,FWR_unt,0.9574084901194418
A (Pre-2022),FWR_tag,FWR_tag,1.0
A (Pre-2022),FWR_tag,Sha_W,-0.17047010054919445
A (Pre-2022),FWR_tag,Sha_P,0.46146086599331093
A (Pre-2022),Sha_W,PTD,0.08422161039031927
A (Pre-2022),Sha_W,FWR_unt,-0.16092671160413788
A (Pre-2022),Sha_W,FWR_tag,-0.17047010054919445
A (Pre-2022),Sha_W,Sha_W,1.0
A (Pre-2022),Sha_W,Sha_P,0.1417143301804655
A (Pre-2022),Sha_P,PTD,-0.16715585596658727
A (Pre-2022),Sha_P,FWR_unt,0.5296930080496056
A (Pre-2022),Sha_P,FWR_tag,0.46146086599331093
A (Pre-2022),Sha_P,Sha_W,0.1417143301804655
A (Pre-2022),Sha_P,Sha_P,1.0
B (Post-2022),PTD,PTD,1.0
B (Post-2022),PTD,FWR_unt,-0.03780437848138069
B (Post-2022),PTD,FWR_tag,0.04514827831498195
B (Post-2022),PTD,Sha_W,0.032961570797747364
B (Post-2022),PTD,Sha_P,-0.18256536703606133
B (Post-2022),FWR_unt,PTD,-0.03780437848138069
B (Post-2022),FWR_unt,FWR_unt,1.0
B (Post-2022),FWR_unt,FWR_tag,0.9698647312679236
B (Post-2022),FWR_unt,Sha_W,-0.3792125968004745
B (Post-2022),FWR_unt,Sha_P,0.5670010991664449
B (Post-2022),FWR_tag,PTD,0.04514827831498195
B (Post-2022),FWR_tag,FWR_unt,0.9698647312679236
B (Post-2022),FWR_tag,FWR_tag,1.0
B (Post-2022),FWR_tag,Sha_W,-0.3904677545474057
B (Post-2022),FWR_tag,Sha_P,0.5067286389934421
B (Post-2022),Sha_W,PTD,0.032961570797747364
B (Post-2022),Sha_W,FWR_unt,-0.3792125968004745
B (Post-2022),Sha_W,FWR_tag,-0.3904677545474057
B (Post-2022),Sha_W,Sha_W,1.0
B (Post-2022),Sha_W,Sha_P,-0.04380435827476092
B (Post-2022),Sha_P,PTD,-0.18256536703606133
B (Post-2022),Sha_P,FWR_unt,0.5670010991664449
B (Post-2022),Sha_P,FWR_tag,0.5067286389934421
B (Post-2022),Sha_P,Sha_W,-0.04380435827476092
B (Post-2022),Sha_P,Sha_P,1.0
C (LLM),PTD,PTD,1.0
C (LLM),PTD,FWR_unt,0.1358695504746332
C (LLM),PTD,FWR_tag,0.28274549038917535
C (LLM),PTD,Sha_W,-0.20146207062922536
C (LLM),PTD,Sha_P,-0.29752840049823776
C (LLM),FWR_unt,PTD,0.1358695504746332
C (LLM),FWR_unt,FWR_unt,1.0
C (LLM),FWR_unt,FWR_tag,0.9276076599827364
C (LLM),FWR_unt,Sha_W,-0.24701342950010094
C (LLM),FWR_unt,Sha_P,0.0029465482319263416
C (LLM),FWR_tag,PTD,0.28274549038917535
C (LLM),FWR_tag,FWR_unt,0.9276076599827364
C (LLM),FWR_tag,FWR_tag,1.0
C (LLM),FWR_tag,Sha_W,-0.3618959315795604
C (LLM),FWR_tag,Sha_P,-0.15114120303098946
C (LLM),Sha_W,PTD,-0.20146207062922536
C (LLM),Sha_W,FWR_unt,-0.24701342950010094
C (LLM),Sha_W,FWR_tag,-0.3618959315795604
C (LLM),Sha_W,Sha_W,1.0
C (LLM),Sha_W,Sha_P,0.4904157906878975
C (LLM),Sha_P,PTD,-0.29752840049823776
C (LLM),Sha_P,FWR_unt,0.0029465482319263416
C (LLM),Sha_P,FWR_tag,-0.15114120303098946
C (LLM),Sha_P,Sha_W,0.4904157906878975
C (LLM),Sha_P,Sha_P,1.0
