metric,comparison,n1,n2,mean_1,mean_2,diff,U,p_mwu,r_rb,abs_r_rb,rrb_effect,levene_W,p_levene,ks_D,p_ks,cohens_d,abs_cohens_d,cohen_effect
MTLD,A vs B (filtered),3110,3251,122.833,150.58,27.7465,3.37118e+06,4.38134e-117,0.33314,0.33314,medium,110.92,1.00217e-25,0.250775,2.86734e-88,-0.598145,0.598145,medium
MTLD,B vs C (LLM),441,476,151.609,204.735,53.1259,40514,3.4411e-58,0.613998,0.613998,large,58.5299,5.06796e-14,0.565826,3.65344e-68,-1.03863,1.03863,large
Shannon WORD,A vs B (filtered),8848,8848,10.8312,11.0363,0.205098,3.32609e+07,3.76987e-67,0.150283,0.150283,small,98.0507,4.68194e-23,0.110307,2.83299e-47,-0.279088,0.279088,small
Shannon WORD,B vs C (LLM),1196,1196,10.7991,10.0404,-0.758783,472182,6.04222e-47,0.339797,0.339797,medium,32.9625,1.05865e-08,0.275084,3.17705e-40,-0.625677,0.625677,medium
Shannon POS,A vs B (filtered),8848,8848,3.57056,3.54899,-0.0215718,3.99543e+07,0.0170352,-0.0207112,0.0207112,negligible,0.177473,0.673559,0.0204566,0.0493133,0.0175539,0.0175539,negligible
Shannon POS,B vs C (LLM),1196,1196,3.55621,3.51371,-0.0424943,676704,0.0226222,0.0538361,0.0538361,negligible,250.263,1.09558e-53,0.179766,2.69917e-17,-0.220309,0.220309,small
PTD,A vs B (filtered),8848,8848,5.49391,5.43798,-0.0559313,4.00192e+07,0.00996047,-0.0223694,0.0223694,negligible,14.1873,0.000165989,0.0220384,0.02048,0.0482135,0.0482135,negligible
PTD,B vs C (LLM),1196,1196,5.42331,4.602,-0.821312,1.04706e+06,5.82982e-86,-0.463992,0.463992,medium,234.613,1.99124e-52,0.367552,5.17919e-130,0.734118,0.734118,medium
FWR tagged,A vs B (filtered),8848,8848,0.324172,0.314889,-0.00928262,4.28352e+07,1.70031e-27,-0.0943096,0.0943096,negligible,25.724,3.97883e-07,0.0788879,2.31015e-24,0.15499,0.15499,negligible
FWR tagged,B vs C (LLM),1196,1196,0.31755,0.358973,0.0414231,388696,2.86248e-83,0.456528,0.456528,medium,503.284,2.59911e-101,0.425585,1.57775e-97,-0.905617,0.905617,large
FWR untagged,A vs B (filtered),8848,8848,0.847321,0.797464,-0.0498578,4.37654e+07,3.87592e-42,-0.118075,0.118075,small,9.34794,0.0022357,0.0873644,8.63391e-30,0.205674,0.205674,small
FWR untagged,B vs C (LLM),1196,1196,0.814364,0.977124,0.16276,407631,4.17871e-74,0.430053,0.430053,medium,540.047,7.07232e-108,0.429766,1.63699e-99,-0.838277,0.838277,large
